ID,Name
0,(None)
1,Book of Combos 1
2,Book of Combos 2
3,Book of Combos 3
4,Book of Combos 4
5,Book of Combos 5
6,Organizer Guide
7,Pack Rat Guide
8,Potion
9,Mega Potion
10,Nutrients
11,Mega Nutrients
12,Antidote
13,Immunizer
14,Dash Juice
15,Mega Dash Juice
16,Demondrug
17,Mega Demondrug
18,Might Pill
19,Armorskin
20,Mega Armorskin
21,Adamant Pill
22,Cool Drink
23,Hot Drink
24,Cleanser
25,Psychoserum
26,Herbal Medicine
27,Max Potion
28,Ancient Potion
29,Catalyst
30,Energy Drink
31,Air Philter
32,Mega Air Philter
33,Gunpowder
34,Lifecrystals
35,Lifepowder
36,Mystery Charm
37,Shining Charm
38,Timeworn Charm
39,Enduring Charm
40,Powercharm
41,Powertalon
42,Armorcharm
43,Armortalon
44,Tranquilizer
45,Raw Meat
46,Poisoned Meat
47,Tinged Meat
48,Durgged Meat
49,Rare Steak
50,Well-done Steak
51,Burnt Meat
52,Hot Meat
53,Chilled Meat
54,Pink Liver
55,Ethnic Wyvrnmeat
56,Boomerang
57,Throwing Knife
58,Poison Knife
59,Slee Knife
60,Paralysis Knife
61,Tranq Knife
62,Bomb Casing
63,Paintball
64,Flash Bomb
65,Sonic Bomb
66,Dung
67,Super-sized Dung
68,Fertile Mud
69,Dung Bomb
70,Smoke Bomb
71,Poison Smoke Bmb
72,Farcaster
73,Tranq Bomb
74,Oxygen Supply
75,Spider Web
76,Net
77,Trap Tool
78,Pitfall Trap
79,Shock Trap
80,Small Barrel
81,Large Barrel
82,Barrel Bomb S
83,Barrel Bomb S +
84,Barrel Bomb L
85,Barrel Bomb L +
86,Bounce Bomb
87,Bounce Bomb +
88,Felvine Bomb
89,Huskberry
90,Bone Husk S
91,Bone Husk L
92,Normal S Lv1
93,Normal S Lv2
94,NOrmal S Lv3
95,Pierce S Lv1
96,Pierce S Lv2
97,Pierce S Lv3
98,Pellet S Lv1
99,Pellet S Lv2
100,Pellet S Lv3
101,Crag S Lv1
102,Crag S Lv2
103,Crag S Lv3
104,Clust S Lv1
105,Clust S Lv2
106,Clust S Lv3
107,Flaming S
108,Water S
109,Thunder S
110,Freeze S
111,Draong S
112,Recov S Lv1
113,Recov S Lv2
114,Poison S Lv1
115,Poison S Lv2
116,Para S Lv1
117,Para S Lv2
118,Sleep S Lv1
119,Sleep S Lv2
120,Tranq S
121,Paint S
122,Demon S
123,DUMMY 1
124,Armor S
125,DUMMY 2
126,Sub S Lv1
127,Sub S Lv2
128,Exhaust S Lv1
129,Exhaust S Lv2
130,Slicing S
131,DUMMY 3
132,DUMMY 4
133,WyvernFire
134,UW Ballista Ammo
135,(No Coating)
136,Empty Phial
137,Power Coating
138,C. Range Coating
139,Poison Coating
140,Para Coating
141,Sleep Coating
142,Exhaust Coating
143,Paint Coating
144,DUMMY 5
145,Worm
146,DUMMY 6
147,Mega Fishing Fly
148,Frog
149,Whetfish Bait
150,Shushifish Bait
151,Tuna Bait
152,DUMMY 7
153,Goldenfish Bait
154,Burst Bait
155,DUMMY 8
156,Old Pickaxe
157,Iron Pickaxe
158,Mega Pickaxe
159,Old Bug Net
160,Bug Net
161,Mega Bug Net
162,Fishing Harpoon
163,Mega Harpoon
164,BBQ Spit
165,Double BBQ Spit
166,Whetstone
167,Binoculars
168,Carbage
169,Field Horn
170,Health Horn
171,Antidote Horn
172,Demon Horn
173,Armor Horn
174,Honey
175,Herb
176,Antidote Herb
177,Fire Herb
178,DUMMY 9
179,Ivy
180,Sleep Herb
181,Sap Plant
182,Felvine
183,Cactus Flower
184,Airweed
185,Hot Pepper
186,DUMMY 10
187,Blue Mushroom
188,Nitroshroom
189,Parashroom
190,Toadstool
191,Exciteshroom
192,DUMMY 11
193,Dragon Toadstool
194,Bindshroom
195,Paintberry
196,Might Seed
197,Adamant Seed
198,Dragonfell Berry
199,Scatternut
200,Needleberry
201,DUMMY 12
202,Bomberry
203,DUMMY 13
204,DUMMY 14
205,DUMMY 15
206,DUMMY 16
207,Nulberry
208,Bumblepumpkin
209,Broken Shell
210,Black Pearl
211,Jumbo Pearl
212,Stone
213,Iron Ore
214,Earth Crystal
215,Machalite Ore
216,Dragonite Ore
217,Pelagicite Ore
218,DUMMY 17
219,DUMMY 18
220,DUMMY 19
221,Carbalite Ore
222,Eltalite Ore
223,Fucium Ore
224,Meldspar Ore
225,Bathycite Ore
226,Lava Nugget
227,Firestone
228,Firecell Stone
229,Allfire Stone
230,Lightcrystal
231,Isisium
232,DUMMY 20
233,Gracium
234,Antiseptic Stone
235,Ice Crystal
236,Armor Stone
237,Armor Sphere
238,Armor Sphere +
239,Adv Armor Sphere
240,Hrd Armor Sphere
241,Hvy Armor Sphere
242,DUMMY 21
243,Tru Armor Sphere
244,Whetfish
245,Sushifish
246,Sleepyfish
247,Pin Tuna
248,Popfish
249,Scatterfish
250,Burst Arowana
251,Bomb Arowana
252,Glutton Tuna
253,Small Goldenfish
254,Wanchovy
255,DUMMY 22
256,Blue Cutthroat
257,Humspun Conch
258,DUMMY 23
259,Insect Husk
260,Yambug
261,Bughopper
262,DUMMY 215
263,Stinkhopper
264,Snakebee Larva
265,Godbug
266,Bitterbug
267,Flashbug
268,Thunderbug
269,Fulgurbug
270,Carpenterbug
271,Killer Beetle
272,Hercudrome
273,DUMMY 24
274,King Scarab
275,Rare Scarab
276,DUMMY 25
277,Flutterfly
278,DUMMY 26
279,Bomb Sac
280,Screamer
281,Poison Sac
282,Toxin Sac
283,DUMMY 27
284,Paralysis Sac
285,Omniplegia Sac
286,Sleep Sac
287,Coma Sec
288,Flame Sac
289,Inferno Sac
290,Conflagrant Sac
291,Aqua Sac
