ID,Name
0,(None)
1,Torso Up
2,Edgemaster
3,Steady Hand
4,Status Res
5,Fury
6,Biology
7,Nimbleness
8,Readiness
9,Resillience
10,Brutality
11,Ferocity
12,Stalwart
13,Prudence
14,Amplifiy
15,Hoarding
16,Avarice
17,FreeElemnt
18,Fencing
19,Handicraft
20,Crit Draw
21,PunishDraw
22,Reload Spd
23,Recoil
24,Rapid Fire
25,Gloves Off
26,Spirit
27,Unshakable
28,Charmer
29,Tenderizer
30,Blight Res
31,Attack
32,Defense
33,Gathering
34,Carving
35,Fate
36,Tranqilzr
37,Expert
38,Artillery
39,Evasion
40,Health
41,Hearing
42,Sharpness
43,Guard
44,Guard Up
45,Sharpener
46,Potential
47,Bomb Boost
48,Status
49,Stamina
50,Destroyer
51,Evade Dist
52,Sheating
53,FastCharge
54,Stam Drain
55,Unscathed
56,Guts
57,Loading
58,Normal Up
59,Pierce Up
60,Pellet Up
61,KO
62,Def Lock
63,LastingPwr
64,Normal S+
65,Pierce S+
66,Pellet S+
67,Crag S+
68,Clust S+
69,Slicing S+
70,Blast S+
71,Poison C+
72,Para C+
73,Sleep C+
74,Power C+
75,C.Range C+
76,Exhaust C+
77,Blast C+
78,Precision
79,Fire Atk
80,Water Atk
81,Thunder Atk
82,Ice Atk
83,Dragon Atk
84,Elemental
85,Fire Res
86,Water Res
87,Thunder Res
88,Ice Res
89,Dragon Res
90,Spd Gather
91,Psychic
92,Perception
93,Rec Level
94,Wide-Range
95,Maestro
96,Survivor
97,Carnivore
98,Gluttony
99,Constitutn
100,Stam Recov
101,Wind Res
102,Eating
103,Combo Rate
104,Combo Plus
105,Ranger
106,Heat Res
107,Cold Res
108,Commander
109,TeamPlayer
110,TeamLeader
111,RecSpeed
112,Whim
113,Protection
114,Hunger
115,Transportr
116,SpeedSetup
117,Honey
118,Poison
119,Paralysis
120,Sleep
121,Stun
122,Mud/Snow
123,Tremor Res
124,Anti-Theft
125,Sense
126,Flame Aura
127,Auto Guard
128,Franzy Res
129,Mounting
130,CritElemnt
131,CritStatus
132,Dead Eye
133,Mycology
134,LightEater
135,Bleeding
136,Sticky Res
137,Edge Lore
138,PowerEater
139,D. Fencing
140,Arcana
141,Mechanic
142,Brawn
143,Prayer
144,Covert
