Type,ID,Name
0,0,(None)
1,0,(None)
1,1,Leather Headgear
1,2,Chainmail Headgear
1,3,Bherna Turban
1,4,Hunting Helm
1,5,Hunting Cap
1,6,Mafumofu Hood
1,7,Yukumo Kasa
1,8,dummy
1,9,Hunter's Helm
1,10,Hunter's Cap
1,11,Bone Helm
1,12,Bone Cap
1,13,dummy
1,14,dummy
1,15,Chaoshroom
1,16,Chaos Diadem
1,17,dummy
1,18,dummy
1,19,dummy
1,20,dummy
1,21,dummy
1,22,dummy
1,23,Jaggi Helm
1,24,Jaggi Cap
1,25,Maccao Helm
1,26,Maccao Cap
1,27,Velociprey Helm
1,28,Velociprey Cap
1,29,Giaprey Helm
1,30,Giaprey Cap
1,31,Genprey Helm
1,32,Genprey Cap
1,33,Vespoid Helm
1,34,Vespoid Cap
1,35,Hornetaur Helm
1,36,Hornetaur Cap
1,37,Bnahabra Hat
1,38,Bnahabra Headpiece
1,39,Konchu Helm
1,40,Konchu Cap
1,41,Mosswine Mask
1,42,Rhenoplos Helm
1,43,Rhenoplos Cap
1,44,Bulldrome Helm
1,45,Bulldrome Cap
1,46,Bullfango Mask
1,47,Arzuros Helm
1,48,Arzuros Cap
1,49,Cephalos Helm
1,50,Cephalos Cap
1,51,Derring Headgear
1,52,Alloy Helm
1,53,Alloy Cap
1,54,Battle Helm
1,55,Battle Cap
1,56,Ingot Helm
1,57,Ingot Cap
1,58,High Metal Helm
1,59,High Metal Cap
1,60,dummy
1,61,dummy
1,62,Melahoa Hat
1,63,Melahoa Bloom
1,64,Makluva Hood
1,65,Makluva Gills
1,66,Bistro Toque
1,67,Bistro Cap
1,68,Obituary Vertex
1,69,Obituary Clypeus
1,70,Butterfly Vertex
1,71,Butterfly Clypeus
1,72,Death Stench Brain
1,73,Death Stench Soul
1,74,Acorn Helm
1,75,Acorn Cap
1,76,Mosgharl Vizor
1,77,Mosgharl Brim
1,78,Edel Vizor
1,79,Edel Bloom
1,80,Skalda Vertex
1,81,Skalda Clypeus
1,82,Spio Vertex
1,83,Spio Clypeus
1,84,dummy
