Type,ID,Name
1,0,(None)
1,1,F Bone Wedge
1,2,F Bherna Staff
1,3,F Iron Sword
1,4,F Bone Hammer
1,5,F Jaggi Knife
1,6,F Hunting Knife
1,7,F Yukumo Bokken
1,8,F Wood Chopper
1,9,F Paw Punch
1,10,F Alta Net
1,11,F Rheno Hammer
1,12,F Bnaha Dagger
1,13,F Maccao Dagger
1,14,F Vprey Bayonet
1,15,F Bulldrome Tusk
1,16,F Arzuros Mace
1,17,F Genprey Bayonet
1,18,F Cephalos Brush
1,19,F Machalite Wedge
1,20,F Giant Acorn
1,21,F Stone Cat Statue
1,22,F Venombee Bat
1,23,F Gourmet Cheese
1,24,F Moofah Cotton
1,25,F Aptonoth Meat
1,26,F Fish Stick
1,27,F Grilled Hammer
1,28,F Ioprey Bayonet
1,29,F Lagombi Staff
1,30,F Kut-Ku Cutter
1,31,F Gypceros Glare
1,32,F Cabra Pounder
1,33,F Daimyo Shears
1,34,F Ludroth Paw
1,35,F Khezu Whaccine
1,36,F Nibel Blammer
1,37,F Quest Book
1,38,F Vprey Wedge
1,39,F Barrel Basher
1,40,F Derring Lance
1,41,F Edel Rod
1,42,F Mosgharl Broom
1,43,F Bushwhacker
1,44,F Death Stench Scythe
1,45,F Marauder Blade
1,46,F Marauder Gavel
1,47,F Volvi Lantern
1,48,F Jester Parasol
1,49,F Rathian Rapier
1,50,F Blango Spear
1,51,F Ceanataur Cutter
1,52,F Naja Pungi
1,53,F Narga Shuriken
1,54,F Kokoto Beer
1,55,F Pokke Mop
1,56,F Yukumo Fan
1,57,F Shroom Rod
1,58,F Eldora Paw
1,59,F Garuga Fan
1,60,F Uragaan Iron
1,61,F Rathalos Blade
1,62,F Lagia Anchor
1,63,F Astalos Spear
1,64,F Enormews Staff
1,65,F Mizutsune Parasol
1,66,F Guild Rapier
1,67,F Moofy Plush
1,68,F Scorching Blade
1,69,F Mewsurper's Peal
1,70,F Katzenlampe
1,71,F Seregios Edge
1,72,F Tigrex Whammer
1,73,F Kirin Rumblezap
1,74,F Brachy Punch
1,75,F Le Cœur de Chat
1,76,F Kushala Wand
1,77,F Genie Breath
1,78,F Kaiser Mace
1,79,F White Felyne Husk
1,80,F Bone Wedge S
1,81,F Bherna Staff S
1,82,F Hunting Knife S
1,83,F Yukumo Bonito
1,84,F Carbalite Wedge
1,85,F Giant Acorn S
1,86,F Vprey Wedge S
1,87,F Barrel Basher S
1,88,F Gourmet Cheese S
1,89,F Moofah Cotton S
1,90,F Barbecue
1,91,F Fish Stick S
1,92,F Fingerlicker
1,93,F Bushwhacker S
1,94,F Paw Punch S
1,95,F Carbalite Sword
1,96,F Bone Hammer S
1,97,F Alta Net S
1,98,F Bnaha Dagger S
1,99,F Jaggi Knife S
1,100,F Rheno Hammer S
1,101,F Slagtoth Leaf
1,102,F Maccao Dagger S
1,103,F Vprey Bayonet S
1,104,F Bulldrome Tusk S
1,105,F Arzuros Mace S
1,106,F Genprey Bayonet S
1,107,F Lagombi Staff S
1,108,F Cephalos Brush S
1,109,F Kut-Ku Cutter S
1,110,F Gypceros Glare S
1,111,F Cabra Pounder S
1,112,F Daimyo Shears S
1,113,F Ludroth Paw S
1,114,F Kecha Harrow
1,115,F Bell Rod
1,116,F Gargouille Waltz
1,117,F Venombee Bat S
1,118,F Mosgharl Broom S
1,119,F Meowtetsuken
1,120,F Pounderpurr
1,121,F Ioprey Bayonet S
1,122,F Volvi Lantern S
1,123,F Khezu Whaccine S
1,124,F Nibel Blammer S
1,125,F Slumbering Duke
1,126,F Queen Rapier
1,127,F Blango Spear S
1,128,F Ceanataur Cutter S
1,129,F Naja Pungi S
1,130,F Narga Shuriken S
1,131,F Garuga Fan S
1,132,F Uragaan Iron S
1,133,F Zamtrios Paw
1,134,F Plesioth Board
1,135,F Lava Mace
1,136,F Edel Rod S
1,137,F Lulling Moofy Plush
1,138,F Wood Chopper S
1,139,F Kut-Ku Cackle
1,140,F Bulldrome Rrrush
1,141,F Mighty Shroom Rod
1,142,F D. Stench Scythe S
1,143,F Lost Catspaw Staff
1,144,F Lagia Anchor S
1,145,F Scorched Whiskers
1,146,F Lightning Spear
1,147,F Ginormews Staff
1,148,F Crimson Parasol
1,149,F Blazing Blade
1,150,F Mewsurper's Roar
1,151,F Katzenfunzel
1,152,F Tigrex Whammer S
1,153,F Seltas Drill
1,154,F Agnaktor Lance
1,155,F Duram Axe
1,156,F Kirin Bolt
1,157,F Golden Gadget
1,158,F Vangis Mace
1,159,F Kut-Ku Cutter R
1,160,F Kecha Harrow R
1,161,F Gypceros Ankh R
1,162,F Cabra Pounder R
1,163,F Daimyo Shears R
1,164,F Ludroth Paw R
1,165,F Jester Parasol R
1,166,F Zamtrios Paw R
1,167,F Khezu Whaccine R
1,168,F Rathian Rapier R
1,169,F Nibel Blammer R
1,170,F Plesioth Board R
1,171,F Blango Spear R
1,172,F Quest Book S
1,173,F Kokoto Beer S
1,174,F Pokke Mop S
1,175,F Yukumo Fan S
1,176,F Guildcalibur
1,177,F Dragon Evertones
1,178,F Barrel Mallet
1,179,F Dirty Blade
1,180,F Meowsketeer Rapier
1,181,F Master's Blade
1,182,F Derring Lance S
1,183,F Seregios Edge S
1,184,F Brachy Wallop
1,185,F Le Chatphrodite
1,186,F White Felyne Staff
1,187,F Polaris Sword
1,188,F Lava Mace R
1,189,F Ceanataur Cutter R
1,190,F Narga Shuriken R
1,191,F Naja Pungi R
1,192,F Garuga Fan R
1,193,F Uragaan Iron R
1,194,F Seltas Drill R
1,195,F Rathalos Blade R
1,196,F Lagia Anchor R
1,197,F Mewsurper's Peal R
1,198,F Kushala Wand S
1,199,F Genie Breath S
1,200,F Kaiser Mace S
1,201,F Akantor Sword
1,202,F Ukanlos Shovel
1,203,F Cursed Cloud
1,204,F Escador Scythe
1,205,F Mizutsune Parasol R
1,206,F Astalos Spear R
1,207,F Enormews Staff R
1,208,F Scorching Blade R
1,209,F Agnaktor Lance R
