ID,Monster
0,Rathian
1,Apex Rathian
2,Rathalos
3,Apex Rathalos
4,Khezu
5,Basarios
6,Diablos
7,Apex Diablos
8,Rajang
9,Kushala Daora
10,Chameleos
11,Teostra
12,Tigrex
13,Nargacuga
14,Barioth
15,Barroth
16,Royal Ludroth
17,Great Baggi
18,Zinogre
19,Apex Zinogre
20,Great Wroggi
21,Arzuros
22,Apex Arzuros
23,Lagombi
24,Volvidon
25,Mizutsune
26,Apex Mizutsune
27,Crimson Glow Valstrax
28,Magnamalo
29,Bishaten
30,Aknosom
31,Tetranadon
32,Somnacanth
33,Rakna-Kadaki
34,Almudron
35,Wind Serpent Ibushi
36,Goss Harag
37,Great Izuchi
38,Thunder Serpent Narwa
39,Narwa the Allmother
40,Anjanath
41,Pukei-Pukei
42,Kulu-Ya-Ku
43,Jyuratodus
44,Tobi-Kadachi
45,Bazelgeuse
46,Giant Mechanized Toad
47,Kelbi (male)
48,Kelbi (female)
49,Felyne
50,Melynx
51,Bullfango
52,Popo
53,Anteka
54,Remobra
55,Rhenoplos
56,Bnahabra
57,Altaroth
58,Gajau
59,Jaggi
60,Jaggia
61,Baggi
62,Delex
63,Ludroth
64,Uroktor
65,Slagtoth
66,Gargwa
67,Wroggi
68,Zamite
69,Jagras
70,Kestodon (male)
71,Kestodon (female)
72,Bombadgy
73,Izuchi (male)
74,Izuchi (female)
75,Rachnoid
76,Gold Rathian
77,Silver Rathalos
78,Daimyo Hermitaur
79,Shogun Ceanataur
80,Furious Rajang
81,Lucent Nargacuga
82,Gore Magala
83,Shagaru Magala
84,Seregios
85,Astalos
86,Violet Mizutsune
87,Scorned Magnamalo
88,Blood Orange Bishaten
89,Aurora Somnacanth
90,Pyre Rakna-Kadaki
91,Magma Almudron
92,Seething Bazelgeuse
93,Malzeno
94,Lunagaron
95,Garangolm
96,Gaismagorm
97,Espinas
98,Flaming Espinas
99,Hornetaur
100,Vespoid
101,Velociprey
102,Hermitaur
103,Ceanataur
104,Pyrantula
105,Gowngoat
106,Boggi
107,Risen Kushala Daora
108,Risen Chameleos
109,Risen Teostra
110,Risen Shagaru Magala
111,Risen Crimson Glow Valstrax
112,Primordial Malzeno
113,Chaotic Gore Magala
114,Velkhana
115,Amatsu
