ID,Monster,Silver,Gold,Small
0,Anjanath,110,120,90
1,Rathalos,115,123,90
2,Aptonoth,0,0,0
3,Jagras,0,0,0
4,Zorah Magdaros,115,123,90
5,Mosswine,0,0,0
6,Gajau,0,0,0
7,Great Jagras,115,123,90
8,Kestodon (male),0,0,0
9,Rathian,115,123,90
10,Pink Rathian,115,123,90
11,Azure Rathalos,115,123,90
12,Diablos,115,123,90
13,Black Diablos,115,123,90
14,Kirin,115,123,90
15,Behemoth,115,123,90
16,Kushala Daora,115,123,90
17,Lunastra,115,123,90
18,Teostra,115,123,90
19,Lavasioth,115,123,90
20,Deviljho,110,120,90
21,Barroth,115,123,90
22,Uragaan,110,120,90
23,Leshen,115,123,90
24,Pukei-Pukei,110,120,90
25,Nergigante,115,123,90
26,Xeno'jiiva,115,123,90
27,Kulu-Ya-Ku,115,123,90
28,Tzitzi-Ya-Ku,115,123,90
29,Jyuratodus,115,123,90
30,Tobi-Kadachi,110,120,90
31,Paolumu,115,123,90
32,Legiana,115,123,90
33,Great Girros,115,123,90
34,Odogaron,115,123,90
35,Radobaan,110,120,90
36,Vaal Hazak,115,123,90
37,Dodogama,115,123,90
38,Kulve Taroth,115,123,90
39,Bazelgeuse,115,123,90
40,Apceros,0,0,0
41,Kelbi (male),0,0,0
42,Kelbi (female),0,0,0
43,Hornetaur,0,0,0
44,Vespoid,0,0,0
45,Mernos,0,0,0
46,Kestodon (female),0,0,0
47,Raphinos,0,0,0
48,Shamos,0,0,0
49,Barnos,0,0,0
50,Girros,0,0,0
51,Ancient Leshen,115,123,90
52,Gastodon,0,0,0
53,Noios,0,0,0
54,,0,0,0
55,,0,0,0
56,Gajalaka,0,0,0
57,,0,0,0
58,,0,0,0
59,,0,0,0
60,,0,0,0
61,Tigrex,115,123,90
62,Nargacuga,115,123,90
63,Barioth,115,123,90
64,Savage Deviljho,114,120,99
65,Brachydios,115,123,90
66,Glavenus,110,120,90
67,Acidic Glavenus,110,120,90
68,Fulgur Anjanath,110,120,90
69,Coral Pukei-Pukei,110,120,90
70,Ruiner Nergigante,115,123,90
71,Viper Tobi-Kadachi,110,120,90
72,Nightshade Paolumu,115,123,90
73,Shrieking Legiana,115,123,90
74,Ebony Odogaron,115,123,90
75,Blackveil Vaal Hazak,115,123,90
76,Seething Bazelgeuse,115,123,90
77,Beotodus,115,123,90
78,Banbaro,115,123,90
79,Velkhana,115,123,90
80,Namielle,115,123,90
81,Shara Ishvalda,115,123,90
82,Popo,0,0,0
83,Anteka,0,0,0
84,Wulg,0,0,0
85,Cortos,0,0,0
86,Boaboa,0,0,0
87,Alatreon,115,123,90
88,Gold Rathian,115,123,90
89,Silver Rathalos,115,123,90
90,Yian Garuga,115,123,90
91,Rajang,111,118,90
92,Furious Rajang,111,118,90
93,Brute Tigrex,115,123,90
94,Zinogre,115,123,90
95,Stygian Zinogre,115,123,90
96,Raging Brachydios,115,123,90
97,Safi'jiiva,115,123,90
98,,0,0,0
99,Scarred Yian Garuga,115,123,90
100,Frostfang Barioth,115,123,90
101,Fatalis,115,123,90
