Type,ID,Name
0,0,(None)
1,0,Leather Vest
1,1,Chainmail Vest
1,2,Loc Lac Shawl
1,3,Hunter's Mail
1,4,Hunter's Vest
1,5,Bone Mail
1,6,Bone Vest
1,7,Alloy Mail
1,8,Alloy Vest
1,9,Jaggi Mail
1,10,Jaggi Vest
1,11,Bnahabra Suit
1,12,Bnahabra Vest
1,13,Rhenoplos Mail
1,14,Rhenoplos Vest
1,15,Qurupeco Mail
1,16,Qurupeco Vest
1,17,Ludroth Mail
1,18,Ludroth Vest
1,19,DUMMY
1,20,Baggi Mail
1,21,Baggi Vest
1,22,Barroth Mail
1,23,Barroth Vest
1,24,Gobul Mail
1,25,Gobul Vest
1,26,DUMMY
1,27,DUMMY
1,28,Guild Bard Bolero
1,29,Guild Bard Vest
1,30,Scholar's Blouse
1,31,Scholar's Vest
1,32,Rathian Mail
1,33,Rathian Vest
1,34,Gigginox Mail
1,35,Gigginox Vest
1,36,Ingot Mail
1,37,Ingot Vest
1,38,Lagiacrus Mail
1,39,Lagiacrus Vest
1,40,Rathalos Mail
1,41,Rathalos Vest
1,42,Barioth Mail
1,43,Barioth Vest
1,44,Diablos Mail
1,45,Diablos Vest
1,46,Uragaan Mail
1,47,Uragaan Vest
1,48,Agnaktor Mail
1,49,Agnaktor Vest
1,50,Helios Mail
1,51,Helios Vest
1,52,Selene Mail
1,53,Selene Vest
1,54,Wroggi Mail
1,55,Wroggi Vest
1,56,Arzuros Mail
1,57,Arzuros Vest
1,58,Lagombi Mail
1,59,Lagombi Vest
1,60,Volvidon Mail
1,61,Volvidon Vest
1,62,Nibelsnarf Mail
1,63,Nibelsnarf Vest
1,64,Duramboros Mail
1,65,Duramboros Vest
1,66,Yukumo Dogi
1,67,DUMMY
1,68,DUMMY
1,69,DUMMY
1,70,DUMMY
1,71,DUMMY
1,72,DUMMY
1,73,DUMMY
1,74,DUMMY
1,75,Leather Mail S
1,76,Leather Vest S
1,77,Chainmail Armor S
1,78,Chainmail Vest S
1,79,Loc Lac Shawl S
1,80,Lac Lac Vest S
1,81,Hunter's Mail S
1,82,Hunter's Vest S
1,83,Bone Mail S
1,84,Bone Vest S
1,85,Alloy Mail S
1,86,Alloy Vest S
1,87,Jaggi Mail S
1,88,Jaggi Vest S
1,89,Bnahabra Suit S
1,90,Bnahabra Vest S
1,91,Rhenoplos Mail S
1,92,Rhenoplos Vest S
1,93,Slagtoth Cloak
1,94,Slagtoth Wrap
1,95,Qurupeco Mail S
1,96,Qurupeco Vest S
1,97,Qurupeco Mail U
1,98,Qurupeco Vest U
1,99,Ludroth Mail S
1,100,Ludroth Vest S
1,101,Ludroth Mail U
1,102,Ludroth Vest U
1,103,DUMMY
1,104,Baggi Mail S
1,105,Baggi Vest S
1,106,Wroggi Mail S
1,107,Wroggi Vest S
1,108,Arzuros Mail S
1,109,Arzuros Vest S
1,110,Lagombi Mail S
1,111,Lagombi Vest S
1,112,Volvidon Mail S
1,113,Volvidon Vest S
1,114,Barroth Mail S
1,115,Barroth Vest S
1,116,Barroth Mail U
1,117,Barroth Vest U
1,118,Gobul Mail S
1,119,Gobul Vest S
1,120,Guild Bard Bolero S
1,121,Guild Bard Vest S
1,122,Scholar's Blouse S
1,123,Scholar's Vest S
1,124,Rathian Mail S
1,125,Rathian Vest S
1,126,Rath Heart Mail
1,127,Rath Heart Vest
1,128,Gigginox Mail S
1,129,Gigginox Vest S
1,130,Gigginox Mail U
1,131,Gigginox Vest U
1,132,Ingot Mail S
1,133,Ingot Vest S
1,134,Dober Mail
1,135,Dober Vest
1,136,Yukumo Sky Dogi
1,137,Yukumo Land Dogi
1,138,Aelucanth Thorax
1,139,Aelucanth Pleuron
1,140,Rhopessa Torax
1,141,Rhopessa Pleuron
1,142,Mosgharl Ribplate
1,143,Mosgharl Ribguard
1,144,Artian Mail
1,145,Artian Vest
1,146,Lagiacrus Mail S
1,147,Lagiacrus Vest S
1,148,Lagiacrus Mail U
1,149,Lagiacrus Vest U
1,150,Rathalos Mail S
1,151,Rathalos Vest S
1,152,Rath Soul Mail
1,153,Rath Soul Vest
1,154,Barioth Mail S
1,155,Barioth Vest S
1,156,Barioth Mail U
1,157,Barioth Vest U
1,158,Diablos Mail S
1,159,Diablos Vest S
1,160,Diablos Mail U
1,161,Diablos Vest U
1,162,Uragaan Mail S
1,163,Uragaan Vest S
1,164,Uragaan Mail U
1,165,Uragaan Vest U
1,166,Agnaktor Mail S
1,167,Agnaktor Vest S
1,168,Agnaktor Mail U
1,169,Agnaktor Vest U
1,170,Vangis Mail
1,171,Vangis Vest
1,172,Damascus Mail
1,173,Damascus Vest
1,174,DUMMY
1,175,DUMMY
1,176,DUMMY
1,177,DUMMY
1,178,Yamato Doate
1,179,Mutsu Doate
1,180,Hyuga Muneate
1,181,Amagi Muneate
1,182,Escadora Soul
1,183,Escadora Seele
1,184,Zinogre Mail
1,185,Zinogre Vest
1,186,Nibelsnarf Mail S
1,187,Nibelsnarf Vest S
1,188,Duramboros Mail S
1,189,Duramboros Vest S
1,190,Nargacuga Mail
1,191,Nargacuga Vest
1,192,Plesioth Mail
1,193,Plesioth Vest
1,194,Brachydios Mail
1,195,Brachydios Vest
1,196,Dianthus Jacket
1,197,Campanile Jacket
1,198,Ranger's Girdle
1,199,Archer's Girdle
1,200,DUMMY
1,201,DUMMY
1,202,DUMMY
1,203,DUMMY
1,204,DUMMY
1,205,DUMMY
1,206,DUMMY
1,207,DUMMY
1,208,DUMMY
1,209,DUMMY
1,210,Ingot Mail X
1,211,Ingot Vest X
1,212,Bnahabra Suit X
1,213,Bnahabra Vest X
1,214,Rhenoplos Mail X
1,215,Rhenoplos Vest X
1,216,Slagtoth Cloak X
1,217,Slagtoth Wrap X
1,218,Jaggi Mail X
1,219,Jaggi Vest X
1,220,Baggi Mail X
1,221,Baggi Vest X
1,222,Wroggi Mail X
1,223,Wroggi Vest X
1,224,Arzuros Mail X
1,225,Arzuros Vest X
1,226,Lagombi Mail X
1,227,Lagombi Vest X
1,228,Volvidon Mail X
1,229,Volvidon Vest X
1,230,Qurupeco Mail X
1,231,Qurupeco Vest X
1,232,Qurupeco Mail Z
1,233,Qurupeco Vest Z
1,234,Ludroth Mail X
1,235,Ludroth Vest X
1,236,Ludroth Mail Z
1,237,Ludroth Vest Z
1,238,Barroth Mail X
1,239,Barroth Vest X
1,240,Barroth Mail Z
1,241,Barroth Vest Z
1,242,Gobul Mail X
1,243,Gobul Vest X
1,244,Rathalos Mail X
1,245,Rathalos Vest X
1,246,Rath Soul Mail Z
1,247,Rath Soul Vest Z
1,248,Silver Solmail
1,249,Silver Solvest
1,250,Rathian Mail X
1,251,Rathian Vest X
1,252,Rath Heart Mail Z
1,253,Rath Heart Vest Z
1,254,Golden Lunemail
1,255,Golden Lunevest
1,256,Lagiacrus Mail X
1,257,Lagiacrus Vest X
1,258,Lagiacrus Mail Z
1,259,Lagiacrus Vest Z
1,260,Nether Mail
1,261,Nether Vest
1,262,Gigginox Mail X
1,263,Gigginox Vest X
1,264,Gigginox Mail Z
1,265,Gigginox Vest Z
1,266,Barioth Mail X
1,267,Barioth Vest X
1,268,Barioth Mail Z
1,269,Barioth Vest Z
1,270,Diablos Mail X
1,271,Diablos Vest X
1,272,Diablos Mail Z
1,273,Diablos Vest Z
1,274,Uragaan Mail X
1,275,Uragaan Vest X
1,276,Uragaan Mail Z
1,277,Uragaan Vest Z
1,278,Agnaktor Mail X
1,279,Agnaktor Vest X
1,280,Agnaktor Mail Z
1,281,Agnaktor Vest Z
1,282,Helios Mail X
1,283,Helios Vest X
1,284,Helios Mail Z
1,285,Helios Vest Z
1,286,Selene Mail X
1,287,Selene Vest X
1,288,Selene Mail Z
1,289,Selene Vest Z
1,290,Grand Yamato Doate
1,291,Grand Mutsu Doate
1,292,Grand Hyuga Muneate
1,293,Grand Amagi Muneate
1,294,Yamato Doate Prime
1,295,Mutsu Doate Prime
1,296,Hyuga Muneate Prime
1,297,Amagi Muneate Prime
1,298,Vangis Mail X
1,299,Vangis Vest X
1,300,Escadora Soul X
1,301,Escadora Seele X
1,302,Zinogre Mail X
1,303,Zinogre Vest X
1,304,Zinogre Mail Z
1,305,Zinogre Vest Z
1,306,Nibelsnarf Mail X
1,307,Nibelsnarf Vest X
1,308,Duramboros Mail X
1,309,Duramboros Vest X
1,310,Duramboros Mail Z
1,311,Duramboros Vest Z
1,312,Nargacuga Mail X
1,313,Nargacuga Vest X
1,314,Nargacuga Mail Z
1,315,Nargacuga Vest Z
1,316,Lambent Hauberk
1,317,Silhouette Hauberk
1,318,Plesioth Mail X
1,319,Plesioth Vest X
1,320,Plesioth Mail Z
1,321,Plesioth Vest Z
1,322,Brachydios Mail X
1,323,Brachydios Vest X
1,324,Miralis Breastplate
1,325,Miralis Chestguard
1,326,Damascus Mail X
1,327,Damascus Vest X
1,328,Dober Mail X
1,329,Dober Vest X
1,330,DUMMY
1,331,DUMMY
1,332,DUMMY
1,333,DUMMY
1,334,Aelucanth Thorax X
1,335,Aelucanth Pleuron X
1,336,Rhopessa Thorax X
1,337,Rhopessa Pleuron X
1,338,Mosgharl Ribplate X
1,339,Mosgharl Ribguard X
1,340,Artian Mail X
1,341,Artian Vest X
1,342,Dianthus Wealcoat
1,343,Campanile Wealcoat
1,344,Strider's Girdle
1,345,Deadeye's Girdle
1,346,Guild Bard Bolero X
1,347,Guild Bard Vest X
1,348,Scholar's Blouse X
1,349,Scholar's Vest X
1,350,DUMMY
1,351,DUMMY
1,352,Sailor Suit
1,353,Sailor Vest
1,354,Chakra Necklace
1,355,DUMMY
1,356,DUMMY
1,357,DUMMY
1,358,DUMMY
1,359,DUMMY
1,360,DUMMY
1,361,DUMMY
1,362,DUMMY
1,363,DUMMY
1,364,DUMMY
1,365,DUMMY
1,366,DUMMY
1,367,DUMMY
1,368,DUMMY
1,369,DUMMY
1,370,DUMMY
1,371,DUMMY
1,372,DUMMY
1,373,DUMMY
1,374,DUMMY
1,375,DUMMY
1,376,DUMMY
1,377,DUMMY
1,378,DUMMY
1,379,HellHunter Jacket
1,380,HellHunter Leather
2,0,Leather Gloves
2,1,Chainmail Gloves
2,2,Hunter's Vambraces
2,3,Hunter's Guards
2,4,Bone Vambraces
2,5,Bone Guards
2,6,Alloy Vambraces
2,7,Alloy Guards
2,8,Jaggi Vambraces
2,9,Jaggi Guards
2,10,Bnahabra Gloves
2,11,Bnahabra Sleeves
2,12,Rhenoplos Vambraces
2,13,Rhenoplos Guards
2,14,Qurupeco Vambraces
2,15,Qurupeco Guards
2,16,Ludroth Vambraces
2,17,Ludroth Guards
2,18,DUMMY
2,19,Baggi Vambraces
2,20,Baggi Guards
2,21,Barroth Vambraces
2,22,Barroth Guards
2,23,Gobul Vambraces
2,24,Gobul Guards
2,25,DUMMY
2,26,DUMMY
2,27,Guild Bard Braces
2,28,Guild Braces Sleeves
2,29,Scholar's Gloves
2,30,Scholar's Sleeves
2,31,Rathian Vambraces
2,32,Rathian Guards
2,33,Gigginox Vambraces
2,34,Gigginox Guards
2,35,Ingot Vambraces
2,36,Ingot Guards
2,37,Lagiacrus Braces
2,38,Lagiacrus Guards
2,39,Rathalos Vambraces
2,40,Rathalos Guards
2,41,Barioth Vambraces
2,42,Barioth Guards
2,43,Diablos Vambraces
2,44,Diablos Guards
2,45,Uragaan Vambraces
2,46,Uragaan Guards
2,47,Agnaktor Vambraces
2,48,Agnaktor Guards
2,49,Helios Vambraces
2,50,Helios Guards
2,51,Selene Vambraces
2,52,Selene Guards
2,53,Wroggi Vambraces
2,54,Wroggi Guards
2,55,Arzuros Vambraces
2,56,Arzuros Guards
2,57,Lagombi Vambraces
2,58,Lagombi Guards
2,59,Volvidon Vambraces
2,60,Vambraces Guards
2,61,Nibelsnarf Braces
2,62,Nibelsnarf Guards
2,63,Duramboros Braces
2,64,Duramboros Guards
2,65,Yukumo Kote
2,66,DUMMY
2,67,DUMMY
2,68,DUMMY
2,69,DUMMY
2,70,DUMMY
2,71,DUMMY
2,72,DUMMY
2,73,DUMMY
2,74,Leather Vambraces S
2,75,Leather Guards S
2,76,Chainmail Braces S
2,77,Chainmail Guards S
2,78,Hunter's Vambraces S
2,79,Hunter's Guards S
2,80,Bone Vambraces S
2,81,Bone Guards S
2,82,Alloy Vambraces S
2,83,Alloy Guards S
2,84,Jaggi Vambraces S
2,85,Jaggi Guards S
2,86,Bnahabra Gloves S
2,87,Bnahabra Steeves S
2,88,Rhenoplos Braces S
2,89,Rhenoplos Guards S
2,90,Qurupeco Vambraces S
2,91,Qurupeco Guards S
2,92,Qurupeco Vambraces U
2,93,Qurupeco Guards U
2,94,Ludroth Vambraces S
2,95,Ludroth Guards S
2,96,Ludroth Vambraces U
2,97,Ludroth Guards U
2,98,DUMMY
2,99,Baggi Vambraces S
2,100,Baggi Guards S
2,101,Wroggi Vambraces S
2,102,Wroggi Guards S
2,103,Arzuros Vambraces S
2,104,Arzuros Guards S
2,105,Lagombi Vambraces S
2,106,Lagombi Guards S
2,107,Volvidon Vambraces S
2,108,Volvidon Guards S
2,109,Barroth Vambraces S
2,110,Barroth Guards S
2,111,Barroth Vambraces U
2,112,Barroth Guards U
2,113,Gobul Vambraces S
2,114,Gobul Guards S
2,115,Guild Bard Braces S
2,116,Guild Bard Sleeves S
2,117,Scholar's Gloves S
2,118,Scholar's Sleeves S
2,119,Rathian Vambraces S
2,120,Rathian Guards S
2,121,Rath Heart Braces
2,122,Rath Heart Guards
2,123,Gigginox Vambraces S
2,124,Gigginox Guards S
2,125,Gigginox Vambraces U
2,126,Gigginox Guards U
2,127,Ingot Vambraces S
2,128,Ingot Guards S
2,129,Dober Vambraces
2,130,Dober Guards
2,131,Yukumo Sky Kote
2,132,Yukumo Land Kote
2,133,Aelucanth Brachia
