_id,name,rarity,carry_capacity,buy,sell,description,icon_name,icon_color,account
1,Book of Combos 1,4,1,1000,100,An introductory text for first- time combiners. Improves your combination success rate.,icon_book,10,0
2,Book of Combos 2,4,1,2000,200,An entry-level text. Owning Book 1 and this improves your combination success rate.,icon_book,10,0
3,Book of Combos 3,4,1,5000,500,"An intermediate text. Owning Books 1, 2, and this improves your combination success rate.",icon_book,0,0
4,Book of Combos 4,5,1,10000,1000,An advanced text. Owning Books 1-3 and this improves your combination success rate.,icon_book,0,0
5,Book of Combos 5,5,1,15000,1500,A pro-level text. Owning Books 1-4 and this improves your combination success rate.,icon_book,4,0
6,Organizer Guide,4,1,3000,0,"An issue of ""Hunting Life"" magazine which tells how to maximize Item/Palico Boxes.",icon_book,3,0
7,Pack Rat Guide,5,1,5000,0,"An issue of ""Hunting Life"" magazine containing advanced item-cramming techniques.",icon_book,1,0
8,Binoculars,1,1,50,5,Allow you to see farther and observe from a distance.,icon_binoculars,0,0
9,Potion,1,10,66,7,Restores a small amount of Health.,icon_liquid,2,0
10,Mega Potion,2,10,165,16,Restores a moderate amount of Health.,icon_liquid,2,0
11,Nutrients,2,5,760,25,Very slightly increases your maximum Health level.,icon_liquid,6,0
12,Mega Nutrients,3,5,920,92,Slightly increases your maximum Health level.,icon_liquid,6,0
13,Antidote,1,10,60,6,Removes all traces of poison from your system.,icon_liquid,3,0
14,Immunizer,3,10,923,92,Boosts your natural ability to heal.,icon_liquid,4,0
15,Dash Juice,2,5,293,29,Lets you run without tiring for a short period of time.,icon_liquid,4,0
16,Mega Dash Juice,3,5,1028,205,Lets you run without tiring for longer than regular Dash Juice does.,icon_liquid,4,0
17,Demondrug,4,5,668,67,Boosts your Attack by filling you with -- guess what? -- demonic strength.,icon_liquid,1,0
18,Mega Demondrug,5,5,2831,283,Boosts your Attack even more than a regular Demondrug.,icon_liquid,1,0
19,Might Pill,1,5,2831,280,Temporarily endows you with the strength of a mighty god. Potent!,icon_sac,1,0
20,Armorskin,4,5,578,58,Boosts your Defense by turning your skin as hard as rock.,icon_liquid,7,0
21,Mega Armorskin,5,5,2696,269,Boosts your Defense even more than a regular Armorskin.,icon_liquid,7,0
22,Adamant Pill,1,5,2696,260,Temporarily makes your skin as hard as adamant. Potent!,icon_sac,7,0
23,Cool Drink,1,5,300,30,Provides temporary relief from extreme heat.,icon_liquid,0,0
24,Hot Drink,1,5,250,25,Provides temporary relief from extreme cold.,icon_liquid,1,0
25,Cleanser,2,10,140,14,Immediately removes any ice or webbing on your body. Clean as a whistle!,icon_liquid,6,0
26,Psychoserum,3,3,300,30,Temporarily sharpens your sixth sense and attunes you to the ways of monsters.,icon_liquid,7,0
27,Herbal Medicine,2,10,250,25,Removes all traces of poison and restores a slight amount of Health.,icon_sac,0,0
28,Max Potion,3,2,2138,210,Fully restores Health and maximizes the size of your Health Gauge.,icon_sac,4,0
29,Ancient Potion,5,1,3454,345,Fully restores Health and maximizes the size of your Health and Stamina Gauges.,icon_sac,1,0
30,Energy Drink,2,10,60,6,"A Guild-approved beverage that boosts your Stamina. Helps shake off sleep, too!",icon_liquid,4,0
31,Lifepowder,4,3,6300,315,Medicine made from compounded Lifecrystals. Heals those within range with a single touch.,icon_sac,0,0
32,Dust of Life,5,2,10050,1005,"A medicine with strong curative properties. Studied in secret, it is said to restore youth.",icon_sac,2,0
33,Hunter's Drink,5,3,3500,350,A beverage that temporarily makes it easier to fill the Hunter Arts Gauge.,icon_liquid,14,0
34,Catalyst,2,5,480,48,Works with other materials to enhance their effects. Cannot be used by itself.,icon_sac,10,0
35,Gunpowder,2,20,90,45,A dangerous substance that explodes when struck or heated.,icon_sac,1,0
36,Lifecrystals,3,10,592,59,Mysterious crystals long worshipped as a source of life.,icon_sac,0,0
37,Tranquilizer,4,10,150,15,Medicine that works as an anesthetic when combined.,icon_liquid,1,0
38,Yukumo Egg,1,5,10,1,A popular dish from Yukumo Village. Known for its rich yolk and how it melts in the mouth.,icon_egg,0,0
39,Tanzia Chips,2,5,98,10,A nutritious snack made with ingredients caught in Tanzian waters. Tastes like seafood.,icon_sac,0,0
40,Powercharm,5,1,36000,3600,An amulet that raises Attack. Just carrying this gives you demonic strength.,icon_sac,1,0
41,Powertalon,5,1,68400,6840,A powerful amulet that raises Attack. Made with a Deviljho Talon.,icon_fang,1,0
42,Armorcharm,5,1,24000,2400,An amulet that raises Defense. Just carrying this hardens your skin like stone.,icon_sac,7,0
43,Armortalon,5,1,50400,5040,A powerful amulet that raises Defense. Made with a Deviljho Talon.,icon_fang,7,0
44,BBQ Spit,4,1,560,56,Just what you need to cook meat. A must-have item for any hungry hunter.,icon_spit,1,0
45,Raw Meat,1,10,50,5,"Meat carved from a monster. Can be cooked, combined, or used to set a trap.",icon_meat,1,0
46,Poisoned Meat,1,10,188,19,Raw Meat that poisons whatever eats it. Makes great bait for traps.,icon_meat,5,0
47,Tinged Meat,2,10,300,30,Raw Meat that paralyzes whatever eats it. Makes great bait for traps.,icon_meat,4,0
48,Drugged Meat,1,10,315,32,Raw Meat that puts whatever eats it to sleep. Makes great bait for traps.,icon_meat,6,0
49,Rare Steak,1,10,30,3,Provides a small boost to your Stamina. This one's still red in the middle.,icon_meat,7,0
50,Well-done Steak,2,10,96,48,Provides a moderate boost to your Stamina. Meat done right!,icon_meat,7,0
51,Burnt Meat,1,10,10,1,"Meat that has been burnt to a crisp. It might boost your Stamina, or it might drain it...",icon_meat,10,0
52,Chilled Meat,1,10,300,30,"Meat that cools the body, wards off heat, and restores a moderate amount of Stamina.",icon_meat,6,0
53,Hot Meat,1,10,250,25,"Meat that warms the body, wards off the cold, and restores a moderate amount of Stamina.",icon_meat,1,0
54,Mosswine Jerky,2,5,98,10,"Dried Mosswine meat. The more you chew it, the more flavorful and juicy it becomes.",icon_meat,8,0
55,Kingmeat,6,99,5500,550,"Like its name implies, it's the King of Meats. Doesn't get any juicier than this!",icon_meat,7,0
56,Whetstone,1,20,80,8,A standard-sized Whetstone. Use it to restore a weapon's Sharpness.,icon_whetstone,4,0
57,Old Pickaxe,1,5,60,6,A cheap pickaxe with an easily nicked blade.,icon_pickaxe,10,0
58,Iron Pickaxe,1,5,160,16,A pickaxe with a reasonably strong blade.,icon_pickaxe,0,0
59,Mega Pickaxe,3,5,240,24,A pickaxe tempered with steel. This one won't nick easily.,icon_pickaxe,4,0
60,Old Bug Net,1,5,30,3,A cheap net for catching bugs. It tears easily.,icon_bugnet,10,0
