ID,Name,Category,Subcategory
0,None,None,None
1,Herb,Healing Items,Recovery Items
2,Potion,Healing Items,Recovery Items
3,Mega Potion,Healing Items,Recovery Items
4,Lifesoot,Healing Items,Recovery Items
5,Lifepowder,Healing Items,Recovery Items
6,Dust of Life,Healing Items,Recovery Items
7,Max Potion,Healing Items,Recovery Items
8,Ancient Potion,Healing Items,Recovery Items
9,Immunizer,Healing Items,Recovery Items
10,Antidote Herb,Healing Items,Recovery Items
11,Antidote,Healing Items,Recovery Items
12,Aloe Leaf,Healing Items,Recovery Items
13,Burn Ointment,Healing Items,Recovery Items
14,Anesfreesia,Healing Items,Recovery Items
15,Paracare,Healing Items,Recovery Items
16,Hot Pepper,Healing Items,Recovery Items
17,Energy Drink,Healing Items,Recovery Items
18,Girthy Garlic,Healing Items,Recovery Items
19,Zest Pill,Healing Items,Recovery Items
20,Soapgrass,Healing Items,Recovery Items
21,Soap Scud,Healing Items,Recovery Items
22,Vital Essence,Healing Items,Recovery Items
24,Manyberry,Healing Items,Recovery Items
25,Intuitizer,Healing Items,Recovery Items
26,Nulberry Elixir,Healing Items,Recovery Items
27,Cool Mist,Healing Items,Tools
28,Hot Mist,Healing Items,Tools
29,Mahana Dunker,Healing Items,Food
31,Rutoh Ringer,Healing Items,Food
32,Kuan Cruller,Healing Items,Food
33,Lulu Donut,Healing Items,Food
36,Nua Te Fritter,Healing Items,Food
46,Whetstone,Support Items,Tools
47,Super Whetstone,Support Items,Tools
79,Surrogate Gem,Support Items,Tools
118,Flash Bomb,Support Items,Tools
119,Sonic Bomb,Support Items,Tools
120,Poison Knife,Support Items,Tools
121,Paralysis Knife,Support Items,Tools
122,Sleep Knife,Support Items,Tools
123,Throwing Knife,Support Items,Tools
129,Stone,Materials,Materials
140,Paintball,Support Items,Tools
143,Pitfall Trap,Support Items,Tools
144,Shock Trap,Support Items,Tools
145,Tranq Trap,Support Items,Tools
146,Big Barrel Bomb,Support Items,Tools
147,Power Paintball,Support Items,Tools
148,Mega Barrel Bomb,Support Items,Tools
159,Vitality Nutriment,Growth Items,Tools
160,Strength Nutriment,Growth Items,Tools
161,Defense Nutriment,Growth Items,Tools
162,Drawbridge Lever,Key Items,Key Items
163,Felyne Barrel Bomb,Key Items,Key Items
164,Terga Nitroshroom,Key Items,Key Items
166,Recognition Letter,Materials,Recognition Letters
167,Commendation,Materials,Commendations
168,Bumblepumpkin,Materials,Bumblepumpkins
169,Bronze Ticket,Materials,Bronze Tickets
170,Silver Ticket,Materials,Silver Tickets
