ID,Name,Rarity
0,--------,0
1,Book of Combos 1,4
2,Book of Combos 2,4
3,Book of Combos 3,4
4,Book of Combos 4,5
5,Book of Combos 5,5
6,Organizer Guide,4
7,Pack Rat Guide,5
8,Potion,1
9,Mega Potion,2
10,Nutrients,2
11,Mega Nutrients,3
12,Antidote,1
13,Immunizer,3
14,Dash Juice,2
15,Mega Dash Juice,3
16,Demondrug,4
17,Mega Demondrug,5
18,Might Pill,1
19,Armorskin,4
20,Mega Armorskin,4
21,Adamant Pill,1
22,Cool Drink,1
23,Hot Drink,1
24,Cleanser,2
25,Deodorant,2
26,Psychoserum,3
27,Herbal Medicine,2
28,Max Potion,3
29,Ancient Potion,5
30,Catalyst,2
31,Energy Drink,2
32,Gunpowder,2
33,Lifecrystals,3
34,Lifepowder,4
35,Tranquilizer,4
36,Mystery Charm,4
37,Shining Charm,5
38,Timeworn Charm,6
39,Distorted Charm,6
40,Powercharm,5
41,Powertalon,5
42,Armorcharm,5
43,Armortalon,5
44,Raw Meat,1
45,Poisoned Meat,1
46,Tinged Meat,2
47,Drugged Meat,1
48,Rare Steak,1
49,Well-done Steak,2
50,Burnt Meat,1
51,Chilled Meat,1
52,Hot Meat,1
53,Mosswine Jerky,2
54,Boomerang,4
55,Throwing Knife,1
56,Poison Knife,1
57,Sleep Knife,1
58,Paralysis Knife,1
59,Tranq Knife,4
60,Bomb Casing,1
61,Paintball,1
62,Flash Bomb,2
63,Sonic Bomb,2
64,Dung,1
65,Dung Bomb,2
66,Smoke Bomb,2
67,Poison Smoke Bomb,2
68,Farcaster,3
69,Tranq Bomb,4
70,Spider Web,1
71,Net,2
72,Trap Tool,3
73,Pitfall Trap,3
74,Shock Trap,3
75,Small Barrel,1
76,Large Barrel,2
77,Barrel Bomb S,2
78,Barrel Bomb S+,4
79,Barrel Bomb L,3
80,Barrel Bomb L+,4
81,Bounce Bomb,2
82,Bounce Bomb+,4
83,Felvine Bomb,4
84,dummy,0
85,Huskberry,1
86,Bone Husk,2
87,Normal S Lv1,1
88,Normal S Lv2,1
