_id,name,type,sub_type,rarity,carry_capacity,buy,sell,description,icon_name,icon_color,account
65793,Petrified Blade 1,Weapon,Great Sword,1,0,0,0,Made using a fossil from the Wycademy. The default Great Sword for Bherna Hunters.,icon_great_sword,0,0
65794,Petrified Blade 2,Weapon,Great Sword,1,0,0,0,Made using a fossil from the Wycademy. The default Great Sword for Bherna Hunters.,icon_great_sword,0,0
65795,Petrified Blade 3,Weapon,Great Sword,1,0,0,0,Made using a fossil from the Wycademy. The default Great Sword for Bherna Hunters.,icon_great_sword,0,0
65796,Petrified Blade 4,Weapon,Great Sword,1,0,0,0,Made using a fossil from the Wycademy. The default Great Sword for Bherna Hunters.,icon_great_sword,0,0
65797,Petrified Blade 5,Weapon,Great Sword,1,0,0,0,Made using a fossil from the Wycademy. The default Great Sword for Bherna Hunters.,icon_great_sword,0,0
65798,Petrified Blade 6,Weapon,Great Sword,1,0,0,0,Made using a fossil from the Wycademy. The default Great Sword for Bherna Hunters.,icon_great_sword,0,0
65799,Petrified Blade 7,Weapon,Great Sword,1,0,0,0,Made using a fossil from the Wycademy. The default Great Sword for Bherna Hunters.,icon_great_sword,0,0
65800,Scholarly Blade 8,Weapon,Great Sword,1,0,0,0,The Petrified Blade's final form. A product of the Wycademy's tireless research.,icon_great_sword,0,0
65801,Scholarly Blade 9,Weapon,Great Sword,1,0,0,0,The Petrified Blade's final form. A product of the Wycademy's tireless research.,icon_great_sword,0,0
65802,Scholarly Blade 10,Weapon,Great Sword,1,0,0,0,The Petrified Blade's final form. A product of the Wycademy's tireless research.,icon_great_sword,0,0
65803,Sophos Blade 11,Weapon,Great Sword,1,0,0,0,== Ultimate Form == The coveted Ultimate Form of the Petrified Blade.,icon_great_sword,0,0
66049,Obsidian Blade 1,Weapon,Great Sword,3,0,0,0,A Great Sword forged from an ebon fossil. Absorbs light and shines even brighter.,icon_great_sword,0,0
66050,Obsidian Blade 2,Weapon,Great Sword,3,0,0,0,A Great Sword forged from an ebon fossil. Absorbs light and shines even brighter.,icon_great_sword,0,0
66051,Obsidian Blade 3,Weapon,Great Sword,3,0,0,0,A Great Sword forged from an ebon fossil. Absorbs light and shines even brighter.,icon_great_sword,0,0
66052,Obsidian Blade 4,Weapon,Great Sword,3,0,0,0,A Great Sword forged from an ebon fossil. Absorbs light and shines even brighter.,icon_great_sword,0,0
66053,Obsidian Blade 5,Weapon,Great Sword,3,0,0,0,A Great Sword forged from an ebon fossil. Absorbs light and shines even brighter.,icon_great_sword,0,0
66054,Luminous Jurasta 6,Weapon,Great Sword,3,0,0,0,The Obsidian Blade's final form. Yesterday's fossil is today's monster hunter.,icon_great_sword,0,0
66055,Luminous Jurasta 7,Weapon,Great Sword,3,0,0,0,The Obsidian Blade's final form. Yesterday's fossil is today's monster hunter.,icon_great_sword,0,0
66056,Ethereal Jurasta 8,Weapon,Great Sword,3,0,0,0,== Ultimate Form == The coveted Ultimate Form of the Obsidian Blade.,icon_great_sword,0,0
66305,Halberd 1,Weapon,Great Sword,3,0,0,0,"Low on Sharpness but high on attack, this Great Sword has been esteemed for eons.",icon_great_sword,0,0
66306,Halberd 2,Weapon,Great Sword,3,0,0,0,"Low on Sharpness but high on attack, this Great Sword has been esteemed for eons.",icon_great_sword,0,0
66307,Halberd 3,Weapon,Great Sword,3,0,0,0,"Low on Sharpness but high on attack, this Great Sword has been esteemed for eons.",icon_great_sword,0,0
66308,Halberd 4,Weapon,Great Sword,3,0,0,0,"Low on Sharpness but high on attack, this Great Sword has been esteemed for eons.",icon_great_sword,0,0
66309,Judgment 5,Weapon,Great Sword,3,0,0,0,The Halberd's final form. Delivers swift judgment with each and every swing.,icon_great_sword,0,0
66310,Judgment 6,Weapon,Great Sword,3,0,0,0,The Halberd's final form. Delivers swift judgment with each and every swing.,icon_great_sword,0,0
66311,Judgment 7,Weapon,Great Sword,3,0,0,0,The Halberd's final form. Delivers swift judgment with each and every swing.,icon_great_sword,0,0
66312,Eternal Torment 8,Weapon,Great Sword,3,0,0,0,== Ultimate Form == The coveted Ultimate Form of the Halberd.,icon_great_sword,0,0
66561,Decider 1,Weapon,Great Sword,5,0,0,0,Heavy Great Sword of high quality steel. Symbol of an ancient judge's authority.,icon_great_sword,0,0
66562,Decider 2,Weapon,Great Sword,5,0,0,0,Heavy Great Sword of high quality steel. Symbol of an ancient judge's authority.,icon_great_sword,0,0
66563,Punisher 3,Weapon,Great Sword,5,0,0,0,The Decider's final form. A massive blade normally used solely for executions.,icon_great_sword,0,0
66564,Punisher 4,Weapon,Great Sword,5,0,0,0,The Decider's final form. A massive blade normally used solely for executions.,icon_great_sword,0,0
66565,Punisher 5,Weapon,Great Sword,5,0,0,0,The Decider's final form. A massive blade normally used solely for executions.,icon_great_sword,0,0
66566,Martyr 6,Weapon,Great Sword,5,0,0,0,== Ultimate Form == The coveted Ultimate Form of the Decider.,icon_great_sword,0,0
66817,Igneous Blade 1,Weapon,Great Sword,5,0,0,0,A fiery sword infused with the fury of the earth. One swing can even part rivers of lava.,icon_great_sword,0,0
66818,Igneous Blade 2,Weapon,Great Sword,5,0,0,0,A fiery sword infused with the fury of the earth. One swing can even part rivers of lava.,icon_great_sword,0,0
66819,Igneous Sword 3,Weapon,Great Sword,5,0,0,0,The Igneous Blade's final form can swiftly transform barren land into a sea of lava.,icon_great_sword,0,0
66820,Igneous Sword 4,Weapon,Great Sword,5,0,0,0,The Igneous Blade's final form can swiftly transform barren land into a sea of lava.,icon_great_sword,0,0
66821,Igneous Edge 5,Weapon,Great Sword,5,0,0,0,== Ultimate Form == The coveted Ultimate Form of the Igneous Blade.,icon_great_sword,0,0
67073,Type 41 Wyvernator 1,Weapon,Great Sword,2,0,0,0,A special blade designed to kill flying wyverns. A single swing puts man and beast on equal footing.,icon_great_sword,0,0
67074,Type 41 Wyvernator 2,Weapon,Great Sword,2,0,0,0,A special blade designed to kill flying wyverns. A single swing puts man and beast on equal footing.,icon_great_sword,0,0
